"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoSSB","rhoF"
"267",1988,6,3,"No rho-adjustment","Two year updates",2,25732.1400689873,27286.01,0.6547805,0.6173929,8877.93815982742,8899.755,32593270,30329230,NA,NA,NA,NA
"268",1989,6,3,"No rho-adjustment","Two year updates",2,27243.6255835451,33571.14,0.9745814,0.937465,14815.6811060452,14697.71,5051173,4526852,NA,NA,NA,NA
"269",1990,6,3,"No rho-adjustment","Two year updates",2,34369.1151644613,35992.94,1.198393,1.164164,18424.5908143018,18214.76,5417801,4668598,NA,NA,NA,NA
"270",1991,6,3,"No rho-adjustment","Two year updates",2,37680.5836283385,30426.57,1.18376,1.193621,17265.8699625826,17106.48,10072200,8142807,NA,NA,NA,NA
"271",1992,6,3,"No rho-adjustment","Two year updates",2,31962.7315160677,18944.71,1.279991,1.302831,11566.7987721973,11502.44,10661790,8097788,NA,NA,NA,NA
"272",1993,6,3,"No rho-adjustment","Two year updates",2,20045.6037804478,12280.76,1.543551,1.586995,7613.62540482149,7571.217,14684380,10227200,NA,NA,NA,NA
"273",1994,6,3,"No rho-adjustment","Two year updates",2,13445.4173253749,10505.03,1.332879,1.424972,5755.09309204432,5718.695,5257516,3361471,NA,NA,NA,NA
"274",1995,6,3,"No rho-adjustment","Two year updates",2,12127.894178416,10991.06,0.916881,1.035365,4938.11634354885,4908.933,6217710,3606468,NA,NA,NA,NA
"275",1996,6,3,"No rho-adjustment","Two year updates",2,13299.6179791052,11184.65,0.8162326,0.9822137,5362.59667904674,5345.282,5584570,2928650,NA,NA,NA,NA
"276",1997,6,3,"No rho-adjustment","Two year updates",2,13933.8646061475,9144.961,0.6711441,0.856996,4106.21397187454,4100.045,9777971,4770759,NA,NA,NA,NA
"277",1998,6,3,"No rho-adjustment","Two year updates",2,12004.4692435243,7958.289,0.5597291,0.7647112,3210.60339387242,3213.567,9105385,4217321,NA,NA,NA,NA
"278",1999,6,3,"No rho-adjustment","Two year updates",2,11215.4142461383,8070.503,0.3747781,0.5281548,2332.84652628663,2330.78,19041730,8349216,NA,NA,NA,NA
"279",2000,6,3,"No rho-adjustment","Two year updates",2,12161.2909497359,10087.4,0.4428962,0.6315272,3369.3793132898,3368.914,11455660,4862627,NA,NA,NA,NA
"280",2001,6,3,"No rho-adjustment","Two year updates",2,15378.7721935952,12049.23,0.4594742,0.6706468,4168.64199995592,4166.492,2976459,1249258,NA,NA,NA,NA
"281",2002,6,3,"No rho-adjustment","Two year updates",2,18796.5275654513,13082.53,0.3626093,0.5299141,4002.82825492352,4003.737,13175370,5489769,NA,NA,NA,NA
"282",2003,6,3,"No rho-adjustment","Two year updates",2,20397.4112337643,12938.47,0.3926542,0.5562751,4424.91508432937,4426.53,4777869,2004792,NA,NA,NA,NA
"283",2004,6,3,"No rho-adjustment","Two year updates",2,19359.14346157,11849.27,0.4701816,0.6448898,4443.68621352975,4443.342,15418270,6595503,NA,NA,NA,NA
"284",2005,6,3,"No rho-adjustment","Two year updates",2,17266.7104458311,10878.33,0.6450534,0.8915006,5062.12804685497,5042.297,9185212,4043223,NA,NA,NA,NA
"285",2006,6,3,"No rho-adjustment","Two year updates",2,15633.0101954796,9517.71,0.4354878,0.5967509,3067.88701708169,3064.518,15170260,6955857,NA,NA,NA,NA
"286",2007,6,3,"No rho-adjustment","Two year updates",2,14203.8095119806,11166.58,0.481724,0.629597,3798.59500137237,3796.705,11425310,5468114,NA,NA,NA,NA
"287",2008,6,3,"No rho-adjustment","Two year updates",2,15922.6423711237,12296.11,0.6653683,0.8383,5151.75446846298,5148.055,8282485,4122746,NA,NA,NA,NA
"288",2009,6,3,"No rho-adjustment","Two year updates",2,16724.7286611768,12048.17,0.7703221,0.9396543,5565.33333291916,5554.322,5282501,2744971,NA,NA,NA,NA
"289",2010,6,3,"No rho-adjustment","Two year updates",2,15839.3430373207,10483.41,0.8866648,1.048993,5339.02029219753,5343.594,3214456,1699506,NA,NA,NA,NA
"290",2011,6,3,"No rho-adjustment","Two year updates",2,13221.7822020736,7907.321,1.307762,1.507741,5109.97072073817,5089.281,3123141,1599011,NA,NA,NA,NA
"291",2012,6,3,"No rho-adjustment","Two year updates",2,9573.53143760086,4454.36,1.481667,1.702981,3032.4077880054,3014.348,3451363,1479385,NA,NA,NA,NA
"292",2013,6,3,"No rho-adjustment","Two year updates",2,5394.31278556139,2606.641,1.858794,2.250477,1952.69883512817,1933.962,1711859,603132.4,NA,NA,NA,NA
"293",2014,6,3,"No rho-adjustment","Two year updates",2,3291.96803540133,1605.93,1.668793,2.559558,1242.3906597693,1226.95,5726967,1772106,NA,NA,NA,NA
"294",2015,6,3,"No rho-adjustment","Two year updates",2,2375.18946319702,1080.721,0.2698311,0.4973133,260.327717992316,259.6982,2311249,631945.9,NA,NA,NA,NA
"295",2016,6,3,"No rho-adjustment","Two year updates",2,2232.82109871111,1733.662,0.3742287,0.7140884,578.949825917598,581.0302,1355431,339045.4,NA,NA,NA,NA
"296",2017,6,3,"No rho-adjustment","Two year updates",2,3547.93506976232,2069,0.3788805,0.8141179,857.488542766297,867.5378,3061964,756649.7,NA,NA,NA,NA
"297",2018,6,3,"No rho-adjustment","Two year updates",2,4363.4025233656,1779.691,0.198409,0.4705818,515.712106409548,518.2983,4260899,1089806,NA,NA,NA,NA
"298",2019,6,3,"No rho-adjustment","Two year updates",2,4278.68004512332,1865.13,0.0923108766639092,0.2167235,266.240165962762,266.5063,2913539.48288104,791906.8,1.54390966793539,261.624904122295,NA,NA
"299",2020,6,3,"No rho-adjustment","Two year updates",2,4724.92858591077,2469.322,0.0966236423520891,0.2100291,335.406312279668,337.3067,3155306.4887345,912548.7,8.02172222585408,-23.4251597323305,0.113781958612239,-0.122965615508555
"300",2021,6,3,"No rho-adjustment","Two year updates",2,5806.01275108367,3232.004,0.0966234919633614,0.1921862,421.356700944832,422.9224,3950753.81667103,1224618,-13.5555672579502,-23.426188198233,0.159252869895552,-0.154380607537241
"301",2022,6,3,"No rho-adjustment","Two year updates",2,6967.33768111416,4117.516,0.13350937773096,0.2523768,728.964947927575,728.2773,4563866.13501603,1474789,17.4125784817678,-50.7858855012017,0.203663562355706,-0.183459354704625
"302",2023,6,3,"No rho-adjustment","Two year updates",2,8314.67441346586,4808.635,0.133504392957497,0.2366159,794.459134930963,802.2578,5191240.20929029,1731732,-2.14179792813754,-50.787051350962,0.238294882557892,-0.20466072686254
"303",2024,6,3,"No rho-adjustment","Two year updates",2,9313.1197064212,5809.4,0.224104329466598,0.3882462,1393.63279910172,1398.011,5197095.388904,1802574,22.3385675968219,-59.7245181239633,0.278212826187915,-0.228079397096384
"304",2025,6,3,"No rho-adjustment","Two year updates",2,10738.456781738,6566.249,0.224103861621475,0.3737172,1496.22858062721,1498.605,5415595.57949141,1888049,7.38079707769748,-59.7238086245732,0.315480967198336,-0.250555661336238
"305",2026,6,3,"No rho-adjustment","Two year updates",2,11755.6762773259,7353.528,0.316035948526085,0.5084967,2359.45762600032,2361.195,5327016.65304038,1804048,16.5763007868165,-52.5801608309574,0.348335723297409,-0.266401381736737
"306",2027,6,3,"No rho-adjustment","Two year updates",2,12569.7508185315,7284.257,0.316035898355173,0.5112898,2290.25265392344,2287.441,5343795.20173193,1894443,8.83490645819465,-52.5800983885878,0.501084628209286,-0.319993801743358
"307",2028,6,3,"No rho-adjustment","Two year updates",2,12676.0147314662,7463.796,0.340841057010034,0.5617038,2532.67908797081,2509.691,4927241.57231165,1712674,-0.0892050509349399,-26.3909328253849,0.622020772882728,-0.348553906826793
"308",2029,6,3,"No rho-adjustment","Two year updates",2,12756.4987700468,7150.061,0.340848334463839,0.5697907,2446.5953643636,2450.084,5327138.04711768,1802966,0.543161331511685,-26.3924167428217,0.653559769177572,-0.358265297418767
"309",2030,6,3,"No rho-adjustment","Two year updates",2,12691.0335144701,7081.612,0.28104308893821,0.4889135,2092.06806122925,2074.787,4885557.0191354,1731583,-12.956084768643,10.9560570487757,0.630700784462426,-0.343173614523161
"310",2031,6,3,"No rho-adjustment","Two year updates",2,12701.4621815937,7283.068,0.281055044462372,0.4822981,2130.39578969997,2138.607,4664025.57573013,1760145,-13.1726022163847,10.9585457891521,0.579702383807839,-0.318625915806281
"311",2032,6,3,"No rho-adjustment","Two year updates",2,13102.7897067628,7504.122,0.224569994510104,0.3748275,1791.02803421774,1783.581,4936578.53603057,1933237,-16.5227736369541,25.6110226242107,0.509668240086559,-0.285005916558991
"312",2033,6,3,"No rho-adjustment","Two year updates",2,13272.113132705,8067.13,0.224568033910348,0.3565461,1857.32916400809,1859.728,5315200.91382212,2262539,-17.1989513336203,25.611295780135,0.418323131056825,-0.249289986435805
"313",2034,6,3,"No rho-adjustment","Two year updates",2,13773.0307045362,8779.386,0.199484467446175,0.2975153,1737.74018373436,1746.532,5325088.37091607,2461735,-16.0028377934256,9.0142267557377,0.353245891700448,-0.220039057403864
"314",2035,6,3,"No rho-adjustment","Two year updates",2,14061.3251141234,9947.39,0.199483950120499,0.2689065,1789.94200252407,1804.076,5183103.33288285,2644648,-18.4331194988327,9.01522087224611,0.278245959285629,-0.18986403077606
"315",2036,6,3,"No rho-adjustment","Two year updates",2,14562.7159956765,11227.52,0.200848391033246,0.2344396,1901.34153115807,1891.198,5160949.23895695,2777578,-14.3699111078996,-1.93516353764728,0.224625349635098,-0.168755298434366
"316",2037,6,3,"No rho-adjustment","Two year updates",2,15157.1106505471,12910.28,0.20085684523092,0.2038416,1938.79155274229,1932.82,5138543.98415849,2973014,-18.4479506596839,-1.93768570400449,0.20423582419094,-0.157510010894721
"317",1986,7,3,"No rho-adjustment","Two year updates",3,22430.7558825955,24325.81,0.8563994,0.81564575,9654.017959343,9622.5255,16631560,15884240,NA,NA,NA,NA
"318",1987,7,3,"No rho-adjustment","Two year updates",3,24086.8280575368,26091.775,0.8681519,0.8180275,10733.4078125094,10714.855,17662870,16712635,NA,NA,NA,NA
"319",1988,7,3,"No rho-adjustment","Two year updates",3,25754.745454017,27261.18,0.6547805,0.62002345,8879.59776810552,8863.713,32593270,30134815,NA,NA,NA,NA
"320",1989,7,3,"No rho-adjustment","Two year updates",3,27247.3959287642,33532.415,0.9745814,0.942439,14814.7301254725,14726.61,5051173,4554772,NA,NA,NA,NA
"321",1990,7,3,"No rho-adjustment","Two year updates",3,34367.44991139,35948.845,1.198393,1.177638,18424.2659042407,18285.8,5417801,4637700,NA,NA,NA,NA
"322",1991,7,3,"No rho-adjustment","Two year updates",3,37680.0742704014,30343.06,1.18376,1.196116,17265.7928972569,17136.535,10072200,8222308,NA,NA,NA,NA
"323",1992,7,3,"No rho-adjustment","Two year updates",3,31962.6094261278,18886.095,1.279991,1.307533,11566.7795020534,11484.66,10661790,8116064,NA,NA,NA,NA
"324",1993,7,3,"No rho-adjustment","Two year updates",3,20045.5743803505,12277.27,1.543551,1.5860915,7613.62086999814,7562.509,14684380,10182740,NA,NA,NA,NA
"325",1994,7,3,"No rho-adjustment","Two year updates",3,13445.4109591479,10522.99,1.332879,1.427391,5755.09240510454,5714.544,5257516,3357256,NA,NA,NA,NA
"326",1995,7,3,"No rho-adjustment","Two year updates",3,12127.8931402497,11008.84,0.916881,1.0435805,4938.11623337229,4937.6815,6217710,3567611.5,NA,NA,NA,NA
"327",1996,7,3,"No rho-adjustment","Two year updates",3,13299.6177721852,11181.78,0.8162326,0.9843587,5362.5966487336,5343.6055,5584570,2932740.5,NA,NA,NA,NA
"328",1997,7,3,"No rho-adjustment","Two year updates",3,13933.8645442518,9121.449,0.6711441,0.86089325,4106.21396332843,4104.8565,9777971,4767563,NA,NA,NA,NA
"329",1998,7,3,"No rho-adjustment","Two year updates",3,12004.4692234545,7945.332,0.5597291,0.7654944,3210.60339111119,3201.903,9105385,4217928.5,NA,NA,NA,NA
"330",1999,7,3,"No rho-adjustment","Two year updates",3,11215.4142386893,8042.476,0.3747781,0.5285185,2332.8465254709,2326.662,19041730,8334232,NA,NA,NA,NA
"331",2000,7,3,"No rho-adjustment","Two year updates",3,12161.2909466761,10082.955,0.4428962,0.6334618,3369.37931283848,3366.418,11455660,4855741.5,NA,NA,NA,NA
"332",2001,7,3,"No rho-adjustment","Two year updates",3,15378.772192113,12063.215,0.4594742,0.67509705,4168.64199974855,4166.2385,2976459,1241173,NA,NA,NA,NA
"333",2002,7,3,"No rho-adjustment","Two year updates",3,18796.5275647872,13057.16,0.3626093,0.53240505,4002.82825484969,4000.1245,13175370,5521979.5,NA,NA,NA,NA
"334",2003,7,3,"No rho-adjustment","Two year updates",3,20397.4112334746,12906.81,0.3926542,0.56119955,4424.91508429236,4426.7115,4777869,2008906.5,NA,NA,NA,NA
"335",2004,7,3,"No rho-adjustment","Two year updates",3,19359.1434614335,11821.25,0.4701816,0.64742105,4443.68621351035,4439.8855,15418270,6592046,NA,NA,NA,NA
"336",2005,7,3,"No rho-adjustment","Two year updates",3,17266.7104457693,10879.12,0.6450534,0.8934512,5062.12804684462,5056.453,9185212,4056258.5,NA,NA,NA,NA
"337",2006,7,3,"No rho-adjustment","Two year updates",3,15633.0101954537,9514.551,0.4354878,0.59892525,3067.887017079,3068.0295,15170260,6959800,NA,NA,NA,NA
"338",2007,7,3,"No rho-adjustment","Two year updates",3,14203.8095119715,11187.53,0.481724,0.6308777,3798.5950013711,3810.8935,11425310,5448990.5,NA,NA,NA,NA
"339",2008,7,3,"No rho-adjustment","Two year updates",3,15922.6423711198,12316.85,0.6653683,0.8398597,5151.75446846231,5155.277,8282485,4117967.5,NA,NA,NA,NA
"340",2009,7,3,"No rho-adjustment","Two year updates",3,16724.7286611752,12089.42,0.7703221,0.9439902,5565.33333291891,5574.163,5282501,2739073.5,NA,NA,NA,NA
"341",2010,7,3,"No rho-adjustment","Two year updates",3,15839.3430373201,10490.235,0.8866648,1.0532365,5339.02029219744,5334.443,3214456,1697284,NA,NA,NA,NA
"342",2011,7,3,"No rho-adjustment","Two year updates",3,13221.7822020735,7922.0575,1.307762,1.508658,5109.97072073814,5091.4965,3123141,1607870.5,NA,NA,NA,NA
"343",2012,7,3,"No rho-adjustment","Two year updates",3,9573.53143760081,4468.772,1.481667,1.703279,3032.40778800539,3010.609,3451363,1510077,NA,NA,NA,NA
"344",2013,7,3,"No rho-adjustment","Two year updates",3,5394.31278556138,2618.1345,1.858794,2.2500285,1952.69883512817,1937.572,1711859,625306.45,NA,NA,NA,NA
"345",2014,7,3,"No rho-adjustment","Two year updates",3,3291.96803540133,1626.0885,1.668793,2.522984,1242.3906597693,1231.4765,5726967,1901165,NA,NA,NA,NA
"346",2015,7,3,"No rho-adjustment","Two year updates",3,2375.18946319702,1133.523,0.2698311,0.4757544,260.327717992316,260.30575,2311249,713722.1,NA,NA,NA,NA
"347",2016,7,3,"No rho-adjustment","Two year updates",3,2232.82109871111,1850.027,0.3742287,0.66245305,578.949825917598,580.42465,1355431,401060.3,NA,NA,NA,NA
"348",2017,7,3,"No rho-adjustment","Two year updates",3,3547.93506976232,2273.234,0.3788805,0.71341295,857.488542766297,863.61695,3061964,916397.9,NA,NA,NA,NA
"349",2018,7,3,"No rho-adjustment","Two year updates",3,4363.4025233656,2104.8625,0.198409,0.3848322,515.712106409548,518.10835,4260899,1297196.5,NA,NA,NA,NA
"350",2019,7,3,"No rho-adjustment","Two year updates",3,4278.68004512332,2342.5965,0.190204103436855,0.35998845,527.86103014661,530.0202,2925099.55808319,935120.3,2.5201219474118,71.3169341525998,NA,NA
"351",2020,7,3,"No rho-adjustment","Two year updates",3,4724.98591232369,2834.0025,0.219018535908618,0.4103531,682.306838158895,687.55685,3364477.70754204,1070095,7.28236200600025,-31.3798819388933,0.12081285301041,-0.126589411010235
"352",2021,7,3,"No rho-adjustment","Two year updates",3,5544.37340580201,3283.948,0.219020235308494,0.4051542,818.553796320755,818.9475,3787717.94466761,1149769,-9.56463685130518,-31.3791432765946,0.181081099044157,-0.171771846054784
"353",2022,7,3,"No rho-adjustment","Two year updates",3,6335.93848568648,3851.208,0.250470228904537,0.4618368,1076.36670918031,1083.884,4339810.07870159,1378637,6.97268896534372,-31.9622724908241,0.230162588567861,-0.20039810080006
"354",2023,7,3,"No rho-adjustment","Two year updates",3,7295.55301021354,4108.441,0.250471056891655,0.4620342,1138.60123904736,1144.309,4522299.80075491,1426412,-7.13424828320101,-31.9611806633875,0.283673267162699,-0.235481198026099
"355",2024,7,3,"No rho-adjustment","Two year updates",3,7940.39176421529,4508.725,0.253967162205817,0.4727089,1254.50930166942,1242.265,4814118.28411403,1498831,0.108305570443389,-17.3054619317922,0.311606086707029,-0.249854055002783
"356",2025,7,3,"No rho-adjustment","Two year updates",3,8791.34546268208,5002.252,0.253975939967111,0.4787565,1385.50194915394,1370.693,4767961.55235882,1496392,-8.7007342886429,-17.3053887153076,0.338673142083818,-0.261090741253405
"357",2026,7,3,"No rho-adjustment","Two year updates",3,9886.19647753,5488.398,0.235797574310916,0.4413768,1451.40063916633,1460.018,4852882.75114746,1545961,-5.65802124140338,-5.6452557964394,0.345525351167131,-0.257267529920095
"358",2027,7,3,"No rho-adjustment","Two year updates",3,11173.0598286353,6129.877,0.235800059381977,0.4373836,1599.09692813851,1616.979,5028351.61138646,1606520,-13.1234435960819,-5.64625289194202,0.414749143646023,-0.27116670268141
"359",2028,7,3,"No rho-adjustment","Two year updates",3,11963.3969270855,6422.281,0.226862885245273,0.4157987,1636.26360874515,1673.212,5038500.74229266,1609468,-7.98017888071633,-6.76477426577148,0.411746654484674,-0.262619926660762
"360",2029,7,3,"No rho-adjustment","Two year updates",3,12533.2201575319,6943.428,0.226862405158213,0.4123309,1753.28418846776,1772.402,5262451.87030216,1716869,-13.9112568666958,-6.76510538807107,0.383942371302272,-0.252501939637099
"361",2030,7,3,"No rho-adjustment","Two year updates",3,13067.3906606811,7318.743,0.217696108252285,0.3976044,1816.70693351297,1825.569,5365493.70118452,1825083,-10.3333963445217,-2.86573430250901,0.364410486718884,-0.239609975615833
"362",2031,7,3,"No rho-adjustment","Two year updates",3,13555.3043474904,7766.375,0.217695994095589,0.3848002,1899.99081531059,1896.416,4937147.34403769,1723074,-14.3407328110135,-2.8667049092212,0.338475186900491,-0.2323374540849
"363",2032,7,3,"No rho-adjustment","Two year updates",3,14195.3492731053,8267.714,0.213593577971281,0.3637939,1903.8099953776,1920.956,5378451.63541019,1966799,-11.1726395621408,-1.78928546170188,0.319183741275739,-0.219792283231395
"364",2033,7,3,"No rho-adjustment","Two year updates",3,14626.0627531613,8748.033,0.213597964999342,0.343079,1961.383299905,1964.303,5235732.66026993,2203094,-14.6769475908551,-1.78775380394817,0.299594390288099,-0.216149928604142
"365",2034,7,3,"No rho-adjustment","Two year updates",3,14876.3005922973,9357.002,0.212246247495135,0.3140859,1916.45781560227,1916.975,5256922.45077441,2374725,-13.0798330500869,-2.12630517404845,0.292551590007175,-0.211979457073885
"366",2035,7,3,"No rho-adjustment","Two year updates",3,15114.8480350162,10179.62,0.212242931195821,0.2846035,1976.42366880836,1977.603,5441440.52387914,2682988,-15.0791833317065,-2.12737822329254,0.283771443334192,-0.212466562469363
"367",2036,7,3,"No rho-adjustment","Two year updates",3,15370.5821031106,11393.03,0.206974564128726,0.2456497,1942.17538887727,1951.968,5353052.0470484,2769869,-14.1707411079221,0.986669585364711,0.291807512668181,-0.212511221742612
"368",2037,7,3,"No rho-adjustment","Two year updates",3,15672.0928485941,12999.15,0.206975092004124,0.2115517,1921.24033182735,1925.382,5205697.14963184,2964518,-15.3508798001987,0.986868853994832,0.287822291966802,-0.210703611670609
"369",1986,8,3,"No rho-adjustment","Two year updates",4,22142.6159714497,24202.795,0.8563994,0.81452185,9594.70843888422,9598.018,16631560,15776220,NA,NA,NA,NA
"370",1987,8,3,"No rho-adjustment","Two year updates",4,23974.8768699034,26065.03,0.8681519,0.81129085,10709.422972066,10694.615,17662870,16653790,NA,NA,NA,NA
"371",1988,8,3,"No rho-adjustment","Two year updates",4,25710.2796486862,27227.335,0.6547805,0.62098225,8867.64277976265,8877.1345,32593270,30165905,NA,NA,NA,NA
"372",1989,8,3,"No rho-adjustment","Two year updates",4,27220.2362467248,33459.955,0.9745814,0.9381711,14805.2399018518,14717.55,5051173,4502099,NA,NA,NA,NA
"373",1990,8,3,"No rho-adjustment","Two year updates",4,34350.8316707178,35839.19,1.198393,1.173196,18421.0234940119,18173.555,5417801,4633965.5,NA,NA,NA,NA
"374",1991,8,3,"No rho-adjustment","Two year updates",4,37674.9911794693,30273.085,1.18376,1.189566,17265.0238308903,17007.23,10072200,8264076,NA,NA,NA,NA
"375",1992,8,3,"No rho-adjustment","Two year updates",4,31961.3910407422,18825.42,1.279991,1.3004345,11566.5871974153,11433.88,10661790,8097076,NA,NA,NA,NA
"376",1993,8,3,"No rho-adjustment","Two year updates",4,20045.2809847688,12265.1,1.543551,1.586315,7613.57561514347,7561.477,14684380,10199795,NA,NA,NA,NA
"377",1994,8,3,"No rho-adjustment","Two year updates",4,13445.347427968,10498.47,1.332879,1.4295395,5755.08554985193,5728.6165,5257516,3330181,NA,NA,NA,NA
"378",1995,8,3,"No rho-adjustment","Two year updates",4,12127.882779964,10950.815,0.916881,1.037487,4938.11513387538,4919.3795,6217710,3584053.5,NA,NA,NA,NA
"379",1996,8,3,"No rho-adjustment","Two year updates",4,13299.615707246,11151.965,0.8162326,0.97932875,5362.59634622635,5319.554,5584570,2913334.5,NA,NA,NA,NA
"380",1997,8,3,"No rho-adjustment","Two year updates",4,13933.863926569,9102.2875,0.6711441,0.85393285,4106.21387804322,4092.303,9777971,4788873,NA,NA,NA,NA
"381",1998,8,3,"No rho-adjustment","Two year updates",4,12004.4690231692,7947.074,0.5597291,0.760026,3210.60336355573,3201.2395,9105385,4212798,NA,NA,NA,NA
"382",1999,8,3,"No rho-adjustment","Two year updates",4,11215.4141643531,8050.3525,0.3747781,0.525729,2332.8465173304,2323.738,19041730,8334710,NA,NA,NA,NA
"383",2000,8,3,"No rho-adjustment","Two year updates",4,12161.2909161413,10094.785,0.4428962,0.63083185,3369.3793083346,3371.424,11455660,4867676.5,NA,NA,NA,NA
"384",2001,8,3,"No rho-adjustment","Two year updates",4,15378.7721773209,12043.55,0.4594742,0.66915415,4168.64199767908,4162.8025,2976459,1255876.5,NA,NA,NA,NA
"385",2002,8,3,"No rho-adjustment","Two year updates",4,18796.5275581599,13082.17,0.3626093,0.5326751,4002.82825411296,4013.403,13175370,5530484.5,NA,NA,NA,NA
"386",2003,8,3,"No rho-adjustment","Two year updates",4,20397.4112305832,12922.19,0.3926542,0.5585584,4424.91508392301,4437.619,4777869,2012801.5,NA,NA,NA,NA
"387",2004,8,3,"No rho-adjustment","Two year updates",4,19359.1434600713,11821.165,0.4701816,0.64833785,4443.68621331674,4446.282,15418270,6590414.5,NA,NA,NA,NA
"388",2005,8,3,"No rho-adjustment","Two year updates",4,17266.7104451527,10864.225,0.6450534,0.88798535,5062.12804674126,5058.636,9185212,4043968,NA,NA,NA,NA
"389",2006,8,3,"No rho-adjustment","Two year updates",4,15633.0101951955,9521.128,0.4354878,0.5972555,3067.88701705219,3074.405,15170260,6958977,NA,NA,NA,NA
"390",2007,8,3,"No rho-adjustment","Two year updates",4,14203.8095118807,11179.885,0.481724,0.63024255,3798.59500135849,3795.2485,11425310,5450876,NA,NA,NA,NA
"391",2008,8,3,"No rho-adjustment","Two year updates",4,15922.6423710804,12275.16,0.6653683,0.83944105,5151.75446845563,5155.0985,8282485,4129472.5,NA,NA,NA,NA
"392",2009,8,3,"No rho-adjustment","Two year updates",4,16724.7286611589,12036.735,0.7703221,0.9430616,5565.33333291636,5575.516,5282501,2727384,NA,NA,NA,NA
"393",2010,8,3,"No rho-adjustment","Two year updates",4,15839.3430373145,10457.385,0.8866648,1.048373,5339.02029219657,5330.717,3214456,1705914.5,NA,NA,NA,NA
"394",2011,8,3,"No rho-adjustment","Two year updates",4,13221.7822020717,7881.027,1.307762,1.5009845,5109.97072073784,5064.822,3123141,1601592.5,NA,NA,NA,NA
"395",2012,8,3,"No rho-adjustment","Two year updates",4,9573.53143760033,4453.171,1.481667,1.7015545,3032.40778800533,3008.287,3451363,1462236.5,NA,NA,NA,NA
"396",2013,8,3,"No rho-adjustment","Two year updates",4,5394.31278556129,2595.205,1.858794,2.2529935,1952.69883512816,1926.1425,1711859,590796.8,NA,NA,NA,NA
"397",2014,8,3,"No rho-adjustment","Two year updates",4,3291.96803540132,1592.72,1.668793,2.5781975,1242.3906597693,1225.97,5726967,1717432.5,NA,NA,NA,NA
"398",2015,8,3,"No rho-adjustment","Two year updates",4,2375.18946319702,1061.8105,0.2698311,0.5070842,260.327717992316,260.0932,2311249,592773.2,NA,NA,NA,NA
"399",2016,8,3,"No rho-adjustment","Two year updates",4,2232.82109871111,1681.6095,0.3742287,0.73538115,578.949825917598,579.01545,1355431,306711.65,NA,NA,NA,NA
"400",2017,8,3,"No rho-adjustment","Two year updates",4,3547.93506976232,1967.025,0.3788805,0.85516385,857.488542766297,862.29635,3061964,634374.9,NA,NA,NA,NA
"401",2018,8,3,"No rho-adjustment","Two year updates",4,4363.4025233656,1627.0155,0.198409,0.5178053,515.712106409548,519.5209,4260899,854057.8,NA,NA,NA,NA
"402",2019,8,3,"No rho-adjustment","Two year updates",4,4278.68004512332,1620.16,0.146181924329069,0.4071878,412.596847894632,415.22595,3025464.40953467,613913.2,2.22848995183357,125.312899003263,NA,NA
"403",2020,8,3,"No rho-adjustment","Two year updates",4,4725.48362162204,1870.766,0.0996677012751845,0.3152466,330.094863390624,345.98655,2859008.22277649,609058.35,8.54597327799239,10.472228316486,0.108272605476074,-0.114514555113725
"404",2021,8,3,"No rho-adjustment","Two year updates",4,5635.72612214924,2345.9875,0.0996676988528297,0.31181115,435.7610532402,446.9598,3719656.9154701,815458.65,-10.3480086254362,10.4720787525305,0.168818861029143,-0.157495425497436
"405",2022,8,3,"No rho-adjustment","Two year updates",4,6764.74154761459,2840.719,0.0920839345683616,0.2477094,475.377308511221,478.19235,4644326.07332207,1043115.5,15.9207908383834,-12.6201446844289,0.219726128621312,-0.193700105016361
"406",2023,8,3,"No rho-adjustment","Two year updates",4,8065.72057569585,3340.628,0.0920852449482062,0.23574995,531.164849999562,537.03635,5083459.09778651,1174514.5,-3.17893463705421,-12.6207701778199,0.252465295613064,-0.213011972279082
"407",2024,8,3,"No rho-adjustment","Two year updates",4,9311.98381842214,4038.245,0.0983917610252542,0.2505946,684.60030756435,685.49825,4917191.12053902,1189231.5,23.8012205439067,-38.4133947332745,0.276195318694191,-0.228002222034447
"408",2025,8,3,"No rho-adjustment","Two year updates",4,10867.741339886,4896.039,0.0983917326686819,0.23995065,781.526465210397,785.4717,5321603.35617176,1388853.5,7.4623649607868,-38.4128732602207,0.300861996209066,-0.240881676951519
"409",2026,8,3,"No rho-adjustment","Two year updates",4,12810.2111490398,5875.966,0.102879421706444,0.2387941,985.89225131163,977.5068,5553491.85893307,1502077,31.8236266925684,-38.7858454253827,0.317837687679514,-0.246729613113751
"410",2027,8,3,"No rho-adjustment","Two year updates",4,14649.0158249741,6808.7615,0.102880964125659,0.2240999,1042.87034856998,1049.697,5021686.45935757,1478484.5,15.3183315930493,-38.7862987329243,0.429944184114203,-0.290215060202149
"411",2028,8,3,"No rho-adjustment","Two year updates",4,16091.6369334654,7867.2165,0.118048368054737,0.24873335,1419.7457257788,1392.7455,5333357.49064224,1641134,37.1673309080444,-47.7723409213729,0.496183749443795,-0.312630612962927
"412",2029,8,3,"No rho-adjustment","Two year updates",4,17354.2343952052,8757.577,0.118048047226891,0.23366115,1415.01502676101,1431.1125,5451107.06730979,1788445.5,25.6280705388615,-47.7728249843708,0.542658987254976,-0.326348850515474
