"","X","SSBestratioreal","Fratioreal","Year","Scenario","OM","Rho","Frequency","HCR","Misspecification","Compare_Mis","Compare_Rho","Compare_Freq"
"192",192,1.52937138461288,0.747172409340659,2034,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"193",193,1.41418621212602,0.787675821428571,2035,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"194",194,1.41418621212602,0.787675821428571,2036,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"195",195,1.19805188906837,0.797331266208791,2037,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"196",196,1.19805188906837,0.797331266208791,2038,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"197",197,0.998073707390007,0.803073869505495,2039,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"198",198,0.998073707390007,0.803073869505495,2040,9,4,"No rho-adjustment","Two year updates",1,2,"Misspecified and correctly specified stock assessment",NA,NA
"199",199,0.106811663089928,2.30803470989011,2019,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"200",200,0.106811663089928,2.30803470989011,2020,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"201",201,0.187375058209053,0.237478410247253,2021,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"202",202,0.187375058209053,0.237478410247253,2022,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"203",203,0.379344239715733,0.206410114038462,2023,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"204",204,0.379344239715733,0.206410114038462,2024,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"205",205,0.636763434350403,0.307846927335165,2025,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"206",206,0.636763434350403,0.307846927335165,2026,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"207",207,0.867599753996583,0.539319206868132,2027,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"208",208,0.867599753996583,0.539319206868132,2028,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"209",209,1.14440172790101,0.711070360714286,2029,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"210",210,1.14440172790101,0.711070360714286,2030,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"211",211,1.4243472011741,0.75763665989011,2031,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"212",212,1.4243472011741,0.75763665989011,2032,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"213",213,1.49963129483752,0.775165542032967,2033,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"214",214,1.49963129483752,0.775165542032967,2034,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"215",215,1.37134741712263,0.779440109340659,2035,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"216",216,1.37134741712263,0.779440109340659,2036,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"217",217,1.19319089057743,0.829422494505495,2037,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"218",218,1.19319089057743,0.829422494505495,2038,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"219",219,0.981518786253395,0.826236398076923,2039,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"220",220,0.981518786253395,0.826236398076923,2040,10,4,"No rho-adjustment","Two year updates",2,2,"Misspecified and correctly specified stock assessment",NA,NA
"221",221,0.107897422822431,2.28632841593407,2019,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"222",222,0.107897422822431,2.28632841593407,2020,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"223",223,0.190164760989188,0.672221610989011,2021,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"224",224,0.190164760989188,0.672221610989011,2022,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"225",225,0.34735518179803,0.656379227472527,2023,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"226",226,0.34735518179803,0.656379227472527,2024,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"227",227,0.51698836826254,0.697052798901099,2025,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"228",228,0.51698836826254,0.697052798901099,2026,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"229",229,0.709558695274367,0.695894068681319,2027,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"230",230,0.709558695274367,0.695894068681319,2028,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"231",231,1.01711994991443,0.683156818681319,2029,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"232",232,1.01711994991443,0.683156818681319,2030,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"233",233,1.34247705240047,0.694124411538461,2031,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"234",234,1.34247705240047,0.694124411538461,2032,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"235",235,1.48998607785482,0.732004625274725,2033,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"236",236,1.48998607785482,0.732004625274725,2034,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"237",237,1.4147735762013,0.752334824175824,2035,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"238",238,1.4147735762013,0.752334824175824,2036,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"239",239,1.22152635370866,0.773482336813187,2037,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"240",240,1.22152635370866,0.773482336813187,2038,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"241",241,1.03204615641047,0.797564274725275,2039,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"242",242,1.03204615641047,0.797564274725275,2040,11,4,"No rho-adjustment","Two year updates",3,2,"Misspecified and correctly specified stock assessment",NA,NA
"243",243,0.10731575826093,2.29458855412088,2019,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"244",244,0.10731575826093,2.29458855412088,2020,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"245",245,0.187165887697724,0.964355283791209,2021,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"246",246,0.187165887697724,0.964355283791209,2022,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"247",247,0.326503192477992,0.757044670054945,2023,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"248",248,0.326503192477992,0.757044670054945,2024,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"249",249,0.52538701595782,0.341846465192308,2025,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"250",250,0.52538701595782,0.341846465192308,2026,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"251",251,0.796339529524651,0.292031961428571,2027,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"252",252,0.796339529524651,0.292031961428571,2028,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"253",253,1.19758751974813,0.273075634532967,2029,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"254",254,1.19758751974813,0.273075634532967,2030,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"255",255,1.71504069133033,0.27764718478022,2031,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"256",256,1.71504069133033,0.27764718478022,2032,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"257",257,2.03159778277791,0.320759523791209,2033,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"258",258,2.03159778277791,0.320759523791209,2034,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"259",259,2.00050723144696,0.411497294093407,2035,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"260",260,2.00050723144696,0.411497294093407,2036,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"261",261,1.74734258451151,0.593404902197802,2037,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"262",262,1.74734258451151,0.593404902197802,2038,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"263",263,1.3857628178944,0.711704341483517,2039,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"264",264,1.3857628178944,0.711704341483517,2040,12,4,"No rho-adjustment","Two year updates",4,2,"Misspecified and correctly specified stock assessment",NA,NA
"265",265,0.183124694888905,1.74343471141304,2019,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"266",266,0.183124694888905,1.74343471141304,2020,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"267",267,0.246439143192301,0.31882945795082,2021,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"268",268,0.246439143192301,0.31882945795082,2022,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"269",269,0.394595433977619,0.32474248739011,2023,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"270",270,0.394595433977619,0.32474248739011,2024,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"271",271,0.535600510346602,0.480288928104396,2025,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"272",272,0.535600510346602,0.480288928104396,2026,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"273",273,0.672778483899872,0.833545016208791,2027,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"274",274,0.672778483899872,0.833545016208791,2028,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"275",275,0.722257355265363,1.50102521950549,2029,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"276",276,0.722257355265363,1.50102521950549,2030,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"277",277,0.652402590325447,2.1333655978022,2031,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"278",278,0.652402590325447,2.1333655978022,2032,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"279",279,0.60073485706523,1.853669475,2033,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"280",280,0.60073485706523,1.853669475,2034,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"281",281,0.556462353510693,1.31286988186813,2035,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"282",282,0.556462353510693,1.31286988186813,2036,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"283",283,0.527782916794031,1.12280821071429,2037,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"284",284,0.527782916794031,1.12280821071429,2038,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"285",285,0.536982772309384,1.06630515494505,2039,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"286",286,0.536982772309384,1.06630515494505,2040,13,5,"No rho-adjustment","Two year updates",1,3,"Misspecified and correctly specified stock assessment",NA,NA
"287",287,0.183443078196165,1.70853920706522,2019,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"288",288,0.183443078196165,1.70853920706522,2020,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"289",289,0.247222982636324,0.413664562663044,2021,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"290",290,0.247222982636324,0.413664562663044,2022,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"291",291,0.382748198400192,0.395658396098901,2023,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"292",292,0.382748198400192,0.395658396098901,2024,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"293",293,0.503013803768732,0.526176565961539,2025,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"294",294,0.503013803768732,0.526176565961539,2026,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"295",295,0.633374434039713,0.898998727747253,2027,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"296",296,0.633374434039713,0.898998727747253,2028,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"297",297,0.71118253891589,1.48202253791209,2029,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"298",298,0.71118253891589,1.48202253791209,2030,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"299",299,0.691643098172719,1.94292463598901,2031,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"300",300,0.691643098172719,1.94292463598901,2032,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"301",301,0.63972050575068,1.7067654271978,2033,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"302",302,0.63972050575068,1.7067654271978,2034,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"303",303,0.576513649509298,1.35296106923077,2035,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"304",304,0.576513649509298,1.35296106923077,2036,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"305",305,0.524981608262039,1.20375493021978,2037,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"306",306,0.524981608262039,1.20375493021978,2038,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"307",307,0.526400900529397,1.19906100247253,2039,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"308",308,0.526400900529397,1.19906100247253,2040,14,5,"No rho-adjustment","Two year updates",2,3,"Misspecified and correctly specified stock assessment",NA,NA
"309",309,0.181127767845903,1.74584642771739,2019,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"310",310,0.181127767845903,1.74584642771739,2020,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"311",311,0.241952691941292,0.817322077173913,2021,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"312",312,0.241952691941292,0.817322077173913,2022,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"313",313,0.322095846961451,0.949098303296703,2023,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"314",314,0.322095846961451,0.949098303296703,2024,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"315",315,0.372869702253332,1.19898003956044,2025,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"316",316,0.372869702253332,1.19898003956044,2026,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"317",317,0.460965038510894,1.34766472252747,2027,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"318",318,0.460965038510894,1.34766472252747,2028,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"319",319,0.624802225109721,1.31607326868132,2029,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"320",320,0.624802225109721,1.31607326868132,2030,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"321",321,0.755964521042429,1.17151357747253,2031,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"322",322,0.755964521042429,1.17151357747253,2032,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"323",323,0.778961814824063,1.14975294230769,2033,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"324",324,0.778961814824063,1.14975294230769,2034,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"325",325,0.703208094471493,1.22616930659341,2035,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"326",326,0.703208094471493,1.22616930659341,2036,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"327",327,0.589214716039886,1.3344147989011,2037,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"328",328,0.589214716039886,1.3344147989011,2038,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"329",329,0.550598891654775,1.28064499615385,2039,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"330",330,0.550598891654775,1.28064499615385,2040,15,5,"No rho-adjustment","Two year updates",3,3,"Misspecified and correctly specified stock assessment",NA,NA
"331",331,0.183365581084834,1.71946739836957,2019,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"332",332,0.183365581084834,1.71946739836957,2020,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"333",333,0.246943488562631,0.60768328451087,2021,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"334",334,0.246943488562631,0.60768328451087,2022,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"335",335,0.369965744602516,0.455544878241758,2023,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"336",336,0.369965744602516,0.455544878241758,2024,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"337",337,0.513130248279733,0.353221013324176,2025,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"338",338,0.513130248279733,0.353221013324176,2026,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"339",339,0.745896202290078,0.387292896346154,2027,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"340",340,0.745896202290078,0.387292896346154,2028,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"341",341,1.01841879506665,0.438543133269231,2029,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"342",342,1.01841879506665,0.438543133269231,2030,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"343",343,1.2347537844427,0.561633957692308,2031,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"344",344,1.2347537844427,0.561633957692308,2032,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"345",345,1.14168296945907,0.892217329120879,2033,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"346",346,1.14168296945907,0.892217329120879,2034,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"347",347,0.841381244647349,1.46074575906593,2035,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"348",348,0.841381244647349,1.46074575906593,2036,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"349",349,0.597841739018235,1.96507197197802,2037,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"350",350,0.597841739018235,1.96507197197802,2038,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"351",351,0.507963179066682,1.79808198626374,2039,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"352",352,0.507963179066682,1.79808198626374,2040,16,5,"No rho-adjustment","Two year updates",4,3,"Misspecified and correctly specified stock assessment",NA,NA
"353",353,0.181505245198291,1.73325292417582,2019,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"354",354,0.181505245198291,1.73325292417582,2020,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"355",355,0.244543737433054,0.321225925054945,2021,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"356",356,0.244543737433054,0.321225925054945,2022,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"357",357,0.394433531844153,0.326190241483516,2023,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"358",358,0.394433531844153,0.326190241483516,2024,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"359",359,0.531101800297911,0.372051092967033,2025,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"360",360,0.531101800297911,0.372051092967033,2026,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"361",361,0.727665351579213,0.543898359395604,2027,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"362",362,0.727665351579213,0.543898359395604,2028,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"363",363,0.918517005362706,0.770345915934066,2029,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"364",364,0.918517005362706,0.770345915934066,2030,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"365",365,0.943891723147818,0.943231099450549,2031,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"366",366,0.943891723147818,0.943231099450549,2032,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"367",367,0.941540485258509,0.856886212087912,2033,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"368",368,0.941540485258509,0.856886212087912,2034,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"369",369,0.866325024767877,0.726652290659341,2035,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"370",370,0.866325024767877,0.726652290659341,2036,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"371",371,0.786786057606239,0.709950328021978,2037,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"372",372,0.786786057606239,0.709950328021978,2038,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"373",373,0.743502362782498,0.729530728021978,2039,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"374",374,0.743502362782498,0.729530728021978,2040,17,5,"Rho-adjustment","Two year updates",1,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"375",375,0.178968430580486,1.78901788695652,2019,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"376",376,0.178968430580486,1.78901788695652,2020,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"377",377,0.238007086569948,0.398021634293478,2021,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"378",378,0.238007086569948,0.398021634293478,2022,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"379",379,0.378754939811878,0.376187403423913,2023,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"380",380,0.378754939811878,0.376187403423913,2024,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"381",381,0.523979691332904,0.407762104450549,2025,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"382",382,0.523979691332904,0.407762104450549,2026,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"383",383,0.708950829297396,0.560270487362637,2027,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
